Number		Dims		Class Data
66		(64, 64, 3)		b'viaduct' (class 168)
67		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
68		(64, 64, 3)		b'lion, king of beasts, Panthera leo' (class 184)
69		(64, 64, 3)		b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM' (class 106)
70		(64, 64, 3)		b'Persian cat' (class 131)
71		(64, 64, 3)		b'mantis, mantid' (class 51)
72		(64, 64, 3)		b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus' (class 68)
73		(64, 64, 3)		b'plate' (class 143)
74		(64, 64, 3)		b'mashed potato' (class 167)
75		(64, 64, 3)		b'pomegranate' (class 170)
76		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
77		(64, 64, 3)		b'sea slug, nudibranch' (class 165)
78		(64, 64, 3)		b'tabby, tabby cat' (class 66)
79		(64, 64, 3)		b'baboon' (class 32)
80		(64, 64, 3)		b'meat loaf, meatloaf' (class 192)
81		(64, 64, 3)		b'binoculars, field glasses, opera glasses' (class 197)
82		(64, 64, 3)		b'cliff dwelling' (class 166)
83		(64, 64, 3)		b'thatch, thatched roof' (class 139)
84		(64, 64, 3)		b'pop bottle, soda bottle' (class 45)
85		(64, 64, 3)		b'maypole' (class 21)
86		(64, 64, 3)		b'fountain' (class 140)
87		(64, 64, 3)		b'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens' (class 44)
88		(64, 64, 3)		b'convertible' (class 157)
89		(64, 64, 3)		b'bucket, pail' (class 190)
90		(64, 64, 3)		b'steel arch bridge' (class 130)
91		(64, 64, 3)		b'sombrero' (class 82)
92		(64, 64, 3)		b'rugby ball' (class 128)
93		(64, 64, 3)		b'German shepherd, German shepherd dog, German police dog, alsatian' (class 11)
94		(64, 64, 3)		b'Arabian camel, dromedary, Camelus dromedarius' (class 27)
95		(64, 64, 3)		b'tarantula' (class 43)
96		(64, 64, 3)		b'lawn mower, mower' (class 138)
97		(64, 64, 3)		b'wok' (class 95)
98		(64, 64, 3)		b'umbrella' (class 18)
99		(64, 64, 3)		b'sandal' (class 97)
100		(64, 64, 3)		b'sea slug, nudibranch' (class 165)
101		(64, 64, 3)		b'chest' (class 110)
102		(64, 64, 3)		b'gondola' (class 193)
103		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
104		(64, 64, 3)		b'brown bear, bruin, Ursus arctos' (class 14)
105		(64, 64, 3)		b'wooden spoon' (class 126)
106		(64, 64, 3)		b'punching bag, punch bag, punching ball, punchball' (class 92)
107		(64, 64, 3)		b'bikini, two-piece' (class 142)
108		(64, 64, 3)		b'beacon, lighthouse, beacon light, pharos' (class 93)
109		(64, 64, 3)		b'school bus' (class 15)
110		(64, 64, 3)		b'black stork, Ciconia nigra' (class 115)
111		(64, 64, 3)		b'banana' (class 46)
112		(64, 64, 3)		b'lawn mower, mower' (class 138)
113		(64, 64, 3)		b'guinea pig, Cavia cobaya' (class 17)
114		(64, 64, 3)		b'kimono' (class 172)
115		(64, 64, 3)		b'oboe, hautboy, hautbois' (class 20)
116		(64, 64, 3)		b'scorpion' (class 125)
117		(64, 64, 3)		b'lawn mower, mower' (class 138)
118		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
119		(64, 64, 3)		b'bikini, two-piece' (class 142)
120		(64, 64, 3)		b'comic book' (class 173)
121		(64, 64, 3)		b'triumphal arch' (class 79)
122		(64, 64, 3)		b'American alligator, Alligator mississipiensis' (class 160)
123		(64, 64, 3)		b'triumphal arch' (class 79)
124		(64, 64, 3)		b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus' (class 68)
125		(64, 64, 3)		b'beacon, lighthouse, beacon light, pharos' (class 93)
126		(64, 64, 3)		b'Chihuahua' (class 182)
127		(64, 64, 3)		b'dumbbell' (class 154)
128		(64, 64, 3)		b'binoculars, field glasses, opera glasses' (class 197)
129		(64, 64, 3)		b'abacus' (class 63)
130		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
131		(64, 64, 3)		b"potter's wheel" (class 96)
132		(64, 64, 3)		b'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis' (class 158)
133		(64, 64, 3)		b'remote control, remote' (class 54)
134		(64, 64, 3)		b'gondola' (class 193)
135		(64, 64, 3)		b'ice cream, icecream' (class 28)
136		(64, 64, 3)		b'seashore, coast, seacoast, sea-coast' (class 25)
137		(64, 64, 3)		b'dining table, board' (class 12)
138		(64, 64, 3)		b'goldfish, Carassius auratus' (class 22)
139		(64, 64, 3)		b'king penguin, Aptenodytes patagonica' (class 41)
140		(64, 64, 3)		b'sea cucumber, holothurian' (class 37)
141		(64, 64, 3)		b'cardigan' (class 31)
142		(64, 64, 3)		b'fur coat' (class 59)
143		(64, 64, 3)		b'Arabian camel, dromedary, Camelus dromedarius' (class 27)
144		(64, 64, 3)		b'snorkel' (class 111)
145		(64, 64, 3)		b'steel arch bridge' (class 130)
146		(64, 64, 3)		b'lifeboat' (class 196)
147		(64, 64, 3)		b'altar' (class 185)
148		(64, 64, 3)		b'Labrador retriever' (class 39)
149		(64, 64, 3)		b'sea cucumber, holothurian' (class 37)
150		(64, 64, 3)		b'crane' (class 103)
151		(64, 64, 3)		b'convertible' (class 157)
152		(64, 64, 3)		b'sandal' (class 97)
153		(64, 64, 3)		b'mushroom' (class 107)
154		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
155		(64, 64, 3)		b'magnetic compass' (class 191)
156		(64, 64, 3)		b'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon' (class 147)
157		(64, 64, 3)		b'picket fence, paling' (class 127)
158		(64, 64, 3)		b'Yorkshire terrier' (class 135)
159		(64, 64, 3)		b'gazelle' (class 73)
160		(64, 64, 3)		b'butcher shop, meat market' (class 99)
161		(64, 64, 3)		b'mushroom' (class 107)
162		(64, 64, 3)		b'broom' (class 124)
163		(64, 64, 3)		b'chimpanzee, chimp, Pan troglodytes' (class 57)
164		(64, 64, 3)		b'orangutan, orang, orangutang, Pongo pygmaeus' (class 159)
165		(64, 64, 3)		b"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk" (class 105)
166		(64, 64, 3)		b'neck brace' (class 81)
167		(64, 64, 3)		b'sandal' (class 97)
168		(64, 64, 3)		b'go-kart' (class 163)
169		(64, 64, 3)		b'umbrella' (class 18)
170		(64, 64, 3)		b'sea cucumber, holothurian' (class 37)
171		(64, 64, 3)		b'broom' (class 124)
172		(64, 64, 3)		b'iPod' (class 91)
173		(64, 64, 3)		b'chimpanzee, chimp, Pan troglodytes' (class 57)
174		(64, 64, 3)		b'acorn' (class 195)
175		(64, 64, 3)		b'poncho' (class 178)
176		(64, 64, 3)		b'trilobite' (class 174)
177		(64, 64, 3)		b"spider web, spider's web" (class 36)
178		(64, 64, 3)		b'bullet train, bullet' (class 69)
179		(64, 64, 3)		b'Labrador retriever' (class 39)
180		(64, 64, 3)		b'gondola' (class 193)
181		(64, 64, 3)		b'triumphal arch' (class 79)
182		(64, 64, 3)		b'scorpion' (class 125)
183		(64, 64, 3)		b'punching bag, punch bag, punching ball, punchball' (class 92)
184		(64, 64, 3)		b'bannister, banister, balustrade, balusters, handrail' (class 189)
185		(64, 64, 3)		b'basketball' (class 6)
186		(64, 64, 3)		b'gasmask, respirator, gas helmet' (class 83)
187		(64, 64, 3)		b'bow tie, bow-tie, bowtie' (class 156)
188		(64, 64, 3)		b'turnstile' (class 122)
189		(64, 64, 3)		b'sports car, sport car' (class 117)
190		(64, 64, 3)		b'kimono' (class 172)
191		(64, 64, 3)		b'turnstile' (class 122)
192		(64, 64, 3)		b'rugby ball' (class 128)
193		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
194		(64, 64, 3)		b'thatch, thatched roof' (class 139)
195		(64, 64, 3)		b'bathtub, bathing tub, bath, tub' (class 179)
196		(64, 64, 3)		b'triumphal arch' (class 79)
197		(64, 64, 3)		b'ice lolly, lolly, lollipop, popsicle' (class 121)
198		(64, 64, 3)		b'freight car' (class 52)
199		(64, 64, 3)		b'vestment' (class 104)
200		(64, 64, 3)		b'limousine, limo' (class 114)
201		(64, 64, 3)		b'goldfish, Carassius auratus' (class 22)
202		(64, 64, 3)		b'potpie' (class 23)
203		(64, 64, 3)		b'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens' (class 44)
204		(64, 64, 3)		b'syringe' (class 162)
205		(64, 64, 3)		b'lifeboat' (class 196)
206		(64, 64, 3)		b'scorpion' (class 125)
207		(64, 64, 3)		b'baboon' (class 32)
208		(64, 64, 3)		b'trilobite' (class 174)
209		(64, 64, 3)		b'bell pepper' (class 188)
210		(64, 64, 3)		b'trilobite' (class 174)
211		(64, 64, 3)		b'sewing machine' (class 129)
212		(64, 64, 3)		b'wok' (class 95)
213		(64, 64, 3)		b'Arabian camel, dromedary, Camelus dromedarius' (class 27)
214		(64, 64, 3)		b'seashore, coast, seacoast, sea-coast' (class 25)
215		(64, 64, 3)		b'cliff, drop, drop-off' (class 7)
216		(64, 64, 3)		b'scorpion' (class 125)
217		(64, 64, 3)		b'centipede' (class 161)
218		(64, 64, 3)		b'syringe' (class 162)
219		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
220		(64, 64, 3)		b'Labrador retriever' (class 39)
221		(64, 64, 3)		b'cannon' (class 80)
222		(64, 64, 3)		b'barrel, cask' (class 65)
223		(64, 64, 3)		b'apron' (class 134)
224		(64, 64, 3)		b'coral reef' (class 34)
225		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
226		(64, 64, 3)		b'remote control, remote' (class 54)
227		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
228		(64, 64, 3)		b'basketball' (class 6)
229		(64, 64, 3)		b'remote control, remote' (class 54)
230		(64, 64, 3)		b'candle, taper, wax light' (class 84)
231		(64, 64, 3)		b'hourglass' (class 24)
232		(64, 64, 3)		b'orangutan, orang, orangutang, Pongo pygmaeus' (class 159)
233		(64, 64, 3)		b'wok' (class 95)
234		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
235		(64, 64, 3)		b'drumstick' (class 153)
236		(64, 64, 3)		b'sports car, sport car' (class 117)
237		(64, 64, 3)		b'chimpanzee, chimp, Pan troglodytes' (class 57)
238		(64, 64, 3)		b'beer bottle' (class 50)
239		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
240		(64, 64, 3)		b'wooden spoon' (class 126)
241		(64, 64, 3)		b'cauliflower' (class 198)
242		(64, 64, 3)		b'black stork, Ciconia nigra' (class 115)
243		(64, 64, 3)		b'volleyball' (class 2)
244		(64, 64, 3)		b'cauliflower' (class 198)
245		(64, 64, 3)		b'espresso' (class 8)
246		(64, 64, 3)		b'pole' (class 176)
247		(64, 64, 3)		b'bee' (class 87)
248		(64, 64, 3)		b'dam, dike, dyke' (class 88)
249		(64, 64, 3)		b'magnetic compass' (class 191)
250		(64, 64, 3)		b'chimpanzee, chimp, Pan troglodytes' (class 57)
251		(64, 64, 3)		b'espresso' (class 8)
252		(64, 64, 3)		b'chest' (class 110)
253		(64, 64, 3)		b'Arabian camel, dromedary, Camelus dromedarius' (class 27)
254		(64, 64, 3)		b'punching bag, punch bag, punching ball, punchball' (class 92)
255		(64, 64, 3)		b'desk' (class 85)
256		(64, 64, 3)		b'water tower' (class 109)
257		(64, 64, 3)		b'poncho' (class 178)
258		(64, 64, 3)		b'viaduct' (class 168)
259		(64, 64, 3)		b'bucket, pail' (class 190)
260		(64, 64, 3)		b'wooden spoon' (class 126)
261		(64, 64, 3)		b"plunger, plumber's helper" (class 9)
262		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
263		(64, 64, 3)		b'tractor' (class 75)
264		(64, 64, 3)		b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor' (class 102)
265		(64, 64, 3)		b'orangutan, orang, orangutang, Pongo pygmaeus' (class 159)
266		(64, 64, 3)		b'gazelle' (class 73)
267		(64, 64, 3)		b'German shepherd, German shepherd dog, German police dog, alsatian' (class 11)
268		(64, 64, 3)		b'plate' (class 143)
269		(64, 64, 3)		b'grasshopper, hopper' (class 180)
270		(64, 64, 3)		b'snail' (class 33)
271		(64, 64, 3)		b'grasshopper, hopper' (class 180)
272		(64, 64, 3)		b'cliff dwelling' (class 166)
273		(64, 64, 3)		b'Yorkshire terrier' (class 135)
274		(64, 64, 3)		b'coral reef' (class 34)
275		(64, 64, 3)		b'miniskirt, mini' (class 77)
276		(64, 64, 3)		b'cockroach, roach' (class 48)
277		(64, 64, 3)		b'mushroom' (class 107)
278		(64, 64, 3)		b'brown bear, bruin, Ursus arctos' (class 14)
279		(64, 64, 3)		b'bullet train, bullet' (class 69)
280		(64, 64, 3)		b'albatross, mollymawk' (class 35)
281		(64, 64, 3)		b'bathtub, bathing tub, bath, tub' (class 179)
282		(64, 64, 3)		b'fly' (class 113)
283		(64, 64, 3)		b'brain coral' (class 164)
284		(64, 64, 3)		b'pomegranate' (class 170)
285		(64, 64, 3)		b'hog, pig, grunter, squealer, Sus scrofa' (class 101)
286		(64, 64, 3)		b'organ, pipe organ' (class 19)
287		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
288		(64, 64, 3)		b'parking meter' (class 10)
289		(64, 64, 3)		b'pop bottle, soda bottle' (class 45)
290		(64, 64, 3)		b'cardigan' (class 31)
291		(64, 64, 3)		b'fly' (class 113)
292		(64, 64, 3)		b'tractor' (class 75)
293		(64, 64, 3)		b'goldfish, Carassius auratus' (class 22)
294		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
295		(64, 64, 3)		b'mashed potato' (class 167)
296		(64, 64, 3)		b'orange' (class 149)
297		(64, 64, 3)		b'sulphur butterfly, sulfur butterfly' (class 42)
298		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
299		(64, 64, 3)		b'standard poodle' (class 194)
300		(64, 64, 3)		b'grasshopper, hopper' (class 180)
301		(64, 64, 3)		b'neck brace' (class 81)
302		(64, 64, 3)		b'German shepherd, German shepherd dog, German police dog, alsatian' (class 11)
303		(64, 64, 3)		b'thatch, thatched roof' (class 139)
304		(64, 64, 3)		b"potter's wheel" (class 96)
305		(64, 64, 3)		b'goldfish, Carassius auratus' (class 22)
306		(64, 64, 3)		b'viaduct' (class 168)
307		(64, 64, 3)		b'chest' (class 110)
308		(64, 64, 3)		b'sea cucumber, holothurian' (class 37)
309		(64, 64, 3)		b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus' (class 13)
310		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
311		(64, 64, 3)		b'projectile, missile' (class 49)
312		(64, 64, 3)		b'miniskirt, mini' (class 77)
313		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
314		(64, 64, 3)		b'guinea pig, Cavia cobaya' (class 17)
315		(64, 64, 3)		b'fountain' (class 140)
316		(64, 64, 3)		b'espresso' (class 8)
317		(64, 64, 3)		b'standard poodle' (class 194)
318		(64, 64, 3)		b'remote control, remote' (class 54)
319		(64, 64, 3)		b'black widow, Latrodectus mactans' (class 141)
320		(64, 64, 3)		b'sombrero' (class 82)
321		(64, 64, 3)		b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM' (class 106)
322		(64, 64, 3)		b'pole' (class 176)
323		(64, 64, 3)		b'torch' (class 62)
324		(64, 64, 3)		b'teddy, teddy bear' (class 144)
325		(64, 64, 3)		b'birdhouse' (class 72)
326		(64, 64, 3)		b'bikini, two-piece' (class 142)
327		(64, 64, 3)		b'teapot' (class 71)
328		(64, 64, 3)		b'dam, dike, dyke' (class 88)
329		(64, 64, 3)		b'space heater' (class 30)
330		(64, 64, 3)		b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor' (class 102)
331		(64, 64, 3)		b'sandal' (class 97)
332		(64, 64, 3)		b'German shepherd, German shepherd dog, German police dog, alsatian' (class 11)
333		(64, 64, 3)		b'projectile, missile' (class 49)
334		(64, 64, 3)		b'bucket, pail' (class 190)
335		(64, 64, 3)		b'trolleybus, trolley coach, trackless trolley' (class 152)
336		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
337		(64, 64, 3)		b'fur coat' (class 59)
338		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
339		(64, 64, 3)		b'jellyfish' (class 94)
340		(64, 64, 3)		b'tabby, tabby cat' (class 66)
341		(64, 64, 3)		b'miniskirt, mini' (class 77)
342		(64, 64, 3)		b'mantis, mantid' (class 51)
343		(64, 64, 3)		b'sandal' (class 97)
344		(64, 64, 3)		b'beer bottle' (class 50)
345		(64, 64, 3)		b'Egyptian cat' (class 0)
346		(64, 64, 3)		b'poncho' (class 178)
347		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
348		(64, 64, 3)		b'lifeboat' (class 196)
349		(64, 64, 3)		b'iPod' (class 91)
350		(64, 64, 3)		b'trilobite' (class 174)
351		(64, 64, 3)		b'go-kart' (class 163)
352		(64, 64, 3)		b'drumstick' (class 153)
353		(64, 64, 3)		b'torch' (class 62)
354		(64, 64, 3)		b'scorpion' (class 125)
355		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
356		(64, 64, 3)		b'obelisk' (class 186)
357		(64, 64, 3)		b'potpie' (class 23)
358		(64, 64, 3)		b'nail' (class 29)
359		(64, 64, 3)		b'pomegranate' (class 170)
360		(64, 64, 3)		b'orangutan, orang, orangutang, Pongo pygmaeus' (class 159)
361		(64, 64, 3)		b'trolleybus, trolley coach, trackless trolley' (class 152)
362		(64, 64, 3)		b'cauliflower' (class 198)
363		(64, 64, 3)		b'Yorkshire terrier' (class 135)
364		(64, 64, 3)		b'bell pepper' (class 188)
365		(64, 64, 3)		b'scoreboard' (class 148)
366		(64, 64, 3)		b'ice cream, icecream' (class 28)
367		(64, 64, 3)		b'goldfish, Carassius auratus' (class 22)
368		(64, 64, 3)		b'torch' (class 62)
369		(64, 64, 3)		b'dam, dike, dyke' (class 88)
370		(64, 64, 3)		b'pretzel' (class 40)
371		(64, 64, 3)		b'comic book' (class 173)
372		(64, 64, 3)		b'tractor' (class 75)
373		(64, 64, 3)		b'tarantula' (class 43)
374		(64, 64, 3)		b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus' (class 68)
375		(64, 64, 3)		b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor' (class 102)
376		(64, 64, 3)		b'sports car, sport car' (class 117)
377		(64, 64, 3)		b'freight car' (class 52)
378		(64, 64, 3)		b'jinrikisha, ricksha, rickshaw' (class 108)
379		(64, 64, 3)		b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM' (class 106)
380		(64, 64, 3)		b'brain coral' (class 164)
381		(64, 64, 3)		b'iPod' (class 91)
382		(64, 64, 3)		b'slug' (class 100)
383		(64, 64, 3)		b"spider web, spider's web" (class 36)
384		(64, 64, 3)		b'basketball' (class 6)
385		(64, 64, 3)		b'acorn' (class 195)
386		(64, 64, 3)		b'comic book' (class 173)
387		(64, 64, 3)		b'beaker' (class 187)
388		(64, 64, 3)		b'Labrador retriever' (class 39)
389		(64, 64, 3)		b'bell pepper' (class 188)
390		(64, 64, 3)		b'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens' (class 44)
391		(64, 64, 3)		b'remote control, remote' (class 54)
392		(64, 64, 3)		b'oboe, hautboy, hautbois' (class 20)
393		(64, 64, 3)		b'tractor' (class 75)
394		(64, 64, 3)		b'lampshade, lamp shade' (class 61)
395		(64, 64, 3)		b'barrel, cask' (class 65)
396		(64, 64, 3)		b'king penguin, Aptenodytes patagonica' (class 41)
397		(64, 64, 3)		b'snorkel' (class 111)
398		(64, 64, 3)		b'magnetic compass' (class 191)
399		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
400		(64, 64, 3)		b'viaduct' (class 168)
401		(64, 64, 3)		b'grasshopper, hopper' (class 180)
402		(64, 64, 3)		b'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon' (class 147)
403		(64, 64, 3)		b'suspension bridge' (class 119)
404		(64, 64, 3)		b'rocking chair, rocker' (class 3)
405		(64, 64, 3)		b'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens' (class 44)
406		(64, 64, 3)		b'brass, memorial tablet, plaque' (class 155)
407		(64, 64, 3)		b'meat loaf, meatloaf' (class 192)
408		(64, 64, 3)		b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus' (class 13)
409		(64, 64, 3)		b'scorpion' (class 125)
410		(64, 64, 3)		b'mashed potato' (class 167)
411		(64, 64, 3)		b'steel arch bridge' (class 130)
412		(64, 64, 3)		b'nail' (class 29)
413		(64, 64, 3)		b'lifeboat' (class 196)
414		(64, 64, 3)		b'lawn mower, mower' (class 138)
415		(64, 64, 3)		b'drumstick' (class 153)
416		(64, 64, 3)		b'abacus' (class 63)
417		(64, 64, 3)		b'rocking chair, rocker' (class 3)
418		(64, 64, 3)		b'barbershop' (class 145)
419		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
420		(64, 64, 3)		b'iPod' (class 91)
421		(64, 64, 3)		b'beer bottle' (class 50)
422		(64, 64, 3)		b'beer bottle' (class 50)
423		(64, 64, 3)		b'turnstile' (class 122)
424		(64, 64, 3)		b'military uniform' (class 169)
425		(64, 64, 3)		b'bannister, banister, balustrade, balusters, handrail' (class 189)
426		(64, 64, 3)		b'lemon' (class 4)
427		(64, 64, 3)		b'ox' (class 120)
428		(64, 64, 3)		b'bathtub, bathing tub, bath, tub' (class 179)
429		(64, 64, 3)		b'American lobster, Northern lobster, Maine lobster, Homarus americanus' (class 151)
430		(64, 64, 3)		b'confectionery, confectionary, candy store' (class 146)
431		(64, 64, 3)		b'remote control, remote' (class 54)
432		(64, 64, 3)		b'Christmas stocking' (class 123)
433		(64, 64, 3)		b'bell pepper' (class 188)
434		(64, 64, 3)		b'punching bag, punch bag, punching ball, punchball' (class 92)
435		(64, 64, 3)		b'black widow, Latrodectus mactans' (class 141)
436		(64, 64, 3)		b'brass, memorial tablet, plaque' (class 155)
437		(64, 64, 3)		b'poncho' (class 178)
438		(64, 64, 3)		b'viaduct' (class 168)
439		(64, 64, 3)		b'goldfish, Carassius auratus' (class 22)
440		(64, 64, 3)		b'orangutan, orang, orangutang, Pongo pygmaeus' (class 159)
441		(64, 64, 3)		b'steel arch bridge' (class 130)
442		(64, 64, 3)		b'suspension bridge' (class 119)
443		(64, 64, 3)		b'lion, king of beasts, Panthera leo' (class 184)
444		(64, 64, 3)		b'orange' (class 149)
445		(64, 64, 3)		b'nail' (class 29)
446		(64, 64, 3)		b'fur coat' (class 59)
447		(64, 64, 3)		b'baboon' (class 32)
448		(64, 64, 3)		b'trilobite' (class 174)
449		(64, 64, 3)		b'limousine, limo' (class 114)
450		(64, 64, 3)		b'beer bottle' (class 50)
451		(64, 64, 3)		b'wok' (class 95)
452		(64, 64, 3)		b'mashed potato' (class 167)
453		(64, 64, 3)		b'plate' (class 143)
454		(64, 64, 3)		b'sulphur butterfly, sulfur butterfly' (class 42)
455		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
456		(64, 64, 3)		b'cannon' (class 80)
457		(64, 64, 3)		b'barbershop' (class 145)
458		(64, 64, 3)		b'sunglasses, dark glasses, shades' (class 112)
459		(64, 64, 3)		b'baboon' (class 32)
460		(64, 64, 3)		b'bucket, pail' (class 190)
461		(64, 64, 3)		b'reel' (class 1)
462		(64, 64, 3)		b'beaker' (class 187)
463		(64, 64, 3)		b'alp' (class 60)
464		(64, 64, 3)		b'poncho' (class 178)
465		(64, 64, 3)		b'neck brace' (class 81)
